run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,326600,2025-03-01,2025-04-01,775657006.000000,775657006.0,0.0,0.000000,775657006.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271538,2025-03-01,2025-04-01,3218682662.000000,3218682662.0,0.0,0.000000,3218682662.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296817,2025-03-01,2025-04-01,224769090.000000,224769090.0,0.0,0.000000,224769090.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271648,2025-03-01,2025-04-01,197202269.000000,197202269.0,0.0,0.000000,197202269.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296819,2025-03-01,2025-04-01,1202976152.000000,1202976152.0,0.0,0.000000,1202976152.0,1.0,0.0,"[""delivery_partner_fee"",""payment_voucher"",""OtherCosts"",""payment_point"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271587,2025-03-01,2025-04-01,1424047556.000000,1424047556.0,0.0,0.000000,1424047556.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296815,2025-03-01,2025-04-01,674893930.000000,674893930.0,0.0,0.000000,674893930.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271588,2025-03-01,2025-04-01,1501301311.000000,1501301311.0,0.0,0.000000,1501301311.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,320846,2025-03-01,2025-04-01,196702250.000000,196702250.0,0.0,0.000000,196702250.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271641,2025-03-01,2025-04-01,184520449.000000,184520449.0,0.0,0.000000,184520449.0,1.0,0.0,,,,Tháng trước
2025-05-05,541173,32600,2025-03-01,2025-04-01,9643239538.000000,2312887661.9261556,1643880808.0,1397268.000000,670404121.9261603,53028414.161290325,0.1670632107337276,,,,Tháng trước
2025-05-05,500603355,304106,2025-03-01,2025-04-01,18753318.000000,18753318.0,0.0,0.000000,18753318.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,316614,2025-03-01,2025-04-01,640555054.000000,640555054.0,0.0,0.000000,640555054.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,317610,2025-03-01,2025-04-01,149295563.000000,149295563.0,0.0,0.000000,149295563.0,1.0,0.0,,,,Tháng trước
2025-05-05,500577674,276709,2025-03-01,2025-04-01,11382391617.000000,3394394565.605456,0.0,2019385.000000,3396413950.605456,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,310192,2025-03-01,2025-04-01,1212173961.000000,1212173961.0,0.0,0.000000,1212173961.0,1.0,0.0,"[""delivery_partner_fee"",""payment_voucher"",""payment_point"",""OtherCosts"",""employee_salary"",""damage_product""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,296794,2025-03-01,2025-04-01,1011884126.000000,1011884126.0,0.0,0.000000,1011884126.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271590,2025-03-01,2025-04-01,355718067.000000,355718067.0,0.0,0.000000,355718067.0,1.0,0.0,"[""employee_salary"",""damage_product"",""payment_point"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271597,2025-03-01,2025-04-01,1211434164.000000,1211434164.0,0.0,0.000000,1211434164.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,320852,2025-03-01,2025-04-01,639139909.000000,639139909.0,0.0,0.000000,639139909.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271592,2025-03-01,2025-04-01,325060320.000000,325060320.0,0.0,0.000000,325060320.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271591,2025-03-01,2025-04-01,790408203.000000,790408203.0,0.0,0.000000,790408203.0,1.0,0.0,"[""delivery_partner_fee"",""payment_point"",""OtherCosts"",""employee_salary"",""damage_product"",""payment_voucher""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,310114,2025-03-01,2025-04-01,773758382.000000,773758382.0,0.0,0.000000,773758382.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271582,2025-03-01,2025-04-01,488859521.000000,488859521.0,0.0,0.000000,488859521.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271601,2025-03-01,2025-04-01,3326676008.000000,541439379.1197772,0.0,0.000000,541439379.1197772,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271586,2025-03-01,2025-04-01,713590328.400000,713590328.4,0.0,0.000000,713590328.4,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271619,2025-03-01,2025-04-01,162853016.000000,162853016.0,0.0,0.000000,162853016.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296919,2025-03-01,2025-04-01,719530003.000000,719530003.0,0.0,0.000000,719530003.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271585,2025-03-01,2025-04-01,308969578.000000,308969578.0,0.0,0.000000,308969578.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,310132,2025-03-01,2025-04-01,554466825.000000,554466825.0,0.0,0.000000,554466825.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271396,2025-03-01,2025-04-01,144828943.000000,144828943.0,0.0,0.000000,144828943.0,1.0,0.0,"[""delivery_partner_fee"",""OtherCosts"",""payment_point"",""payment_voucher"",""damage_product"",""employee_salary""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271618,2025-03-01,2025-04-01,204070314.000000,204070314.0,0.0,0.000000,204070314.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271395,2025-03-01,2025-04-01,435526502.000000,435526502.0,0.0,0.000000,435526502.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271190,2025-03-01,2025-04-01,282942186.000000,282942186.0,0.0,0.000000,282942186.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271189,2025-03-01,2025-04-01,1051325650.000000,1051325650.0,0.0,0.000000,1051325650.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271671,2025-03-01,2025-04-01,481064051.000000,481064051.0,0.0,0.000000,481064051.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271584,2025-03-01,2025-04-01,839025740.000000,839025740.0,0.0,0.000000,839025740.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,328949,2025-03-01,2025-04-01,187072565.000000,187072565.0,0.0,0.000000,187072565.0,1.0,0.0,"[""damage_product"",""delivery_partner_fee"",""payment_voucher"",""payment_point"",""employee_salary"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng trước
