run_date,retailer_id,branch_id,timeframe_start,timeframe_end,net_revenue,margin,total_cost,other_income_total,net_profit,cost_per_day,cost_per_revenue,cost_group_name,cost_group_value,cost_group_percent,timeframe_type
2025-05-05,500603355,1000271586,2025-03-01,2025-04-01,713590328.4,713590328.4,0.0,0.0,713590328.4,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271619,2025-03-01,2025-04-01,162853016.0,162853016.0,0.0,0.0,162853016.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296919,2025-03-01,2025-04-01,719530003.0,719530003.0,0.0,0.0,719530003.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271585,2025-03-01,2025-04-01,308969578.0,308969578.0,0.0,0.0,308969578.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,310132,2025-03-01,2025-04-01,554466825.0,554466825.0,0.0,0.0,554466825.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271396,2025-03-01,2025-04-01,144828943.0,144828943.0,0.0,0.0,144828943.0,1.0,0.0,"[""delivery_partner_fee"",""OtherCosts"",""payment_point"",""payment_voucher"",""damage_product"",""employee_salary""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271618,2025-03-01,2025-04-01,204070314.0,204070314.0,0.0,0.0,204070314.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271395,2025-03-01,2025-04-01,435526502.0,435526502.0,0.0,0.0,435526502.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271190,2025-03-01,2025-04-01,282942186.0,282942186.0,0.0,0.0,282942186.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271189,2025-03-01,2025-04-01,1051325650.0,1051325650.0,0.0,0.0,1051325650.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271671,2025-03-01,2025-04-01,481064051.0,481064051.0,0.0,0.0,481064051.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271584,2025-03-01,2025-04-01,839025740.0,839025740.0,0.0,0.0,839025740.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,328949,2025-03-01,2025-04-01,187072565.0,187072565.0,0.0,0.0,187072565.0,1.0,0.0,"[""damage_product"",""delivery_partner_fee"",""payment_voucher"",""payment_point"",""employee_salary"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,296809,2025-03-01,2025-04-01,2109667587.0,2109667587.0,0.0,0.0,2109667587.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,317609,2025-03-01,2025-04-01,399035490.0,399035490.0,0.0,0.0,399035490.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271167,2025-03-01,2025-04-01,661881027.0,661881027.0,0.0,0.0,661881027.0,1.0,0.0,"[""OtherCosts"",""delivery_partner_fee"",""payment_point"",""payment_voucher"",""damage_product"",""employee_salary""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,294602,2025-03-01,2025-04-01,11346346072.0,11346346072.0,0.0,0.0,11346346072.0,1.0,0.0,"[""delivery_partner_fee"",""payment_point"",""payment_voucher"",""employee_salary"",""damage_product"",""OtherCosts""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271583,2025-03-01,2025-04-01,962089698.0,962089698.0,0.0,0.0,962089698.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271595,2025-03-01,2025-04-01,993787485.0,993787485.0,0.0,0.0,993787485.0,1.0,0.0,"[""employee_salary"",""damage_product"",""delivery_partner_fee"",""payment_point"",""OtherCosts"",""payment_voucher""]","[0,0,0,0,0,0]",[],Tháng trước
2025-05-05,500603355,1000271596,2025-03-01,2025-04-01,784899900.0,784899900.0,0.0,0.0,784899900.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271589,2025-03-01,2025-04-01,41805738.0,41805738.0,0.0,0.0,41805738.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296814,2025-03-01,2025-04-01,461052423.0,461052423.0,0.0,0.0,461052423.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296790,2025-03-01,2025-04-01,8154264773.0,8154264773.0,0.0,0.0,8154264773.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271581,2025-03-01,2025-04-01,10839246729.0,1627008532.5597813,0.0,0.0,1627008532.5597813,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,320853,2025-03-01,2025-04-01,107076804.0,107076804.0,0.0,0.0,107076804.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,310188,2025-03-01,2025-04-01,379084412.0,379084412.0,0.0,0.0,379084412.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,1000271594,2025-03-01,2025-04-01,82026420.0,82026420.0,0.0,0.0,82026420.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,296820,2025-03-01,2025-04-01,290763516.0,290763516.0,0.0,0.0,290763516.0,1.0,0.0,,,,Tháng trước
2025-05-05,500603355,326600,2025-01-01,2025-04-01,2017039479.0,2017039479.0,0.0,0.0,2017039479.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271538,2025-01-01,2025-04-01,7805285654.0,7805285654.0,0.0,0.0,7805285654.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296817,2025-01-01,2025-04-01,625031952.0,625031952.0,0.0,0.0,625031952.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271648,2025-01-01,2025-04-01,197202269.0,197202269.0,0.0,0.0,197202269.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296819,2025-01-01,2025-04-01,3183734007.0,3183734007.0,0.0,0.0,3183734007.0,1.0,0.0,"[""payment_point"",""employee_salary"",""delivery_partner_fee"",""payment_voucher"",""OtherCosts"",""damage_product""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,1000271587,2025-01-01,2025-04-01,1424047556.0,1424047556.0,0.0,0.0,1424047556.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,296815,2025-01-01,2025-04-01,1903674678.0,1903674678.0,0.0,0.0,1903674678.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271588,2025-01-01,2025-04-01,1501301311.0,1501301311.0,0.0,0.0,1501301311.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,320846,2025-01-01,2025-04-01,498113856.0,498113856.0,0.0,0.0,498113856.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271641,2025-01-01,2025-04-01,184520449.0,184520449.0,0.0,0.0,184520449.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,304106,2025-01-01,2025-04-01,138128107.0,138128107.0,0.0,0.0,138128107.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,316614,2025-01-01,2025-04-01,1485709971.0,1485709971.0,0.0,0.0,1485709971.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,317610,2025-01-01,2025-04-01,198875907.0,198875907.0,0.0,0.0,198875907.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,310192,2025-01-01,2025-04-01,2704480600.0,2704480600.0,0.0,0.0,2704480600.0,1.0,0.0,"[""payment_point"",""employee_salary"",""delivery_partner_fee"",""payment_voucher"",""damage_product"",""OtherCosts""]","[0,0,0,0,0,0]",[],Quý trước
2025-05-05,500603355,296794,2025-01-01,2025-04-01,1854848526.0,1854848526.0,0.0,0.0,1854848526.0,1.0,0.0,,,,Quý trước
2025-05-05,500603355,1000271597,2025-01-01,2025-04-01,1211434164.0,1211434164.0,0.0,0.0,1211434164.0,1.0,0.0,,,,Quý trước
